22bf79,2018-07-24T22:37:38Z,Warlock,The Celestial,20,,260,15,18,18,20,22,24,20,Sleight of Hand|Stealth|History|Religion|Insight|Perception|Deception|Performance|Persuasion,,Gnome,Light*0|Sacred Flame*0|Eldritch Blast*0|Prestidigitation*0|Mage Hand*0|Minor Illusion*0|Word of Radiance*0|Guidance*0|Spare the Dying*0|Cure Wounds*1|Guiding Bolt*1|Comprehend Languages*1|Illusory Script*1|Protection from Evil and Good*1|Mage Armor*1|Disguise Self*1|Flaming Sphere*2|Lesser Restoration*2|Invisibility*2|Misty Step*2|Levitate*2|Alter Self*2|Daylight*3|Revivify*3|Dispel Magic*3|Gaseous Form*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Dimension Door*4|Banishment*4|Polymorph*4|Flame Strike*5|Greater Restoration*5|Synaptic Static*5|Danse Macabre*5|Mass Suggestion*6|Crown of Stars*7|Feeblemind*8|Power Word Kill*9,Dagger
b1bd6b,2018-08-01T01:25:29Z,Monk,Way of the Four Elements,20,Mobile|Observant,200,20,13,20,15,12,21,11,Acrobatics|History|Religion|Insight|Medicine,,Human,,Dagger|Dart|Unarmed Strike
e9a755,2018-07-09T17:23:10Z,Wizard,School of Conjuration,20,Spell Sniper|Elven Accuracy|Elemental Adept|War Caster|Lucky,122,13,10,16,14,20,14,12,Arcana|Insight|Medicine|Perception|Persuasion,,Elf,Blade Ward*0|Fire Bolt*0|Green-Flame Blade*0|Ray of Frost*0|Message*0|Control Flames*0|Identify*1|Find Familiar*1|Catapult*1|Ray of Sickness*1|Disguise Self*1|Misty Step*2|Mirror Image*2|Scorching Ray*2|Nystuls Magic Aura*2|Mind Spike*2|Counterspell*3|Fireball*3|Counterspell*3|Dispel Magic*3|Summon Lesser Demons*3|Vampiric Touch*3|Dimension Door*4|Summon Greater Demon*4|Mordenkainens Faithful Hound*4|Steel Wind Strike*5|Bigbys Hand*5|Contingency*6|Tensers Transformation*6|Reverse Gravity*7|Forcecage*7|Sunburst*8|Antimagic Field*8|Wish*9|Invulnerability*9,Quarterstaff
68bf99,2018-06-17T23:06:53Z,Warlock,The Great Old One,20,Actor|War Caster,220,16,12,20,16,14,14,21,Stealth|Arcana|History|Religion|Insight|Deception,,Kenku,,CBow Light|Dagger
7b7c1c,2018-09-08T19:42:47Z,Cleric,War Domain,20,,203,24,20,16,20,12,20,15,Religion|Animal Handling|Insight|Survival,,Human,Divine Favor*1|Shield of Faith*1|Magic Weapon*2|Spiritual Weapon*2|Crusaders Mantle*3|Spirit Guardians*3|Freedom of Movement*4|Stoneskin*4|Flame Strike*5|Hold Monster*5,Spear
c4f62f,2018-04-29T21:11:31Z,Barbarian,Path of the Totem Warrior,20,,285,20,24,16,24,12,12,12,Religion|Medicine|Survival|Intimidation,,Dragonborn,,Greataxe|Handaxe|Javelin
1ed728,2018-04-21T14:08:42Z,Sorcerer,Draconic Bloodline,20,Actor|Alert|Spell Sniper|Elven Accuracy|Elemental Adept,182,17,14,18,18,15,18,24,Arcana|Insight|Perception|Deception|Intimidation|Persuasion,,Half-Elf,,CBow Light|Dagger
eecfc2,2018-05-17T23:12:06Z,Warlock,The Hexblade,20,Heavily Armored,260,18,8,10,20,12,14,20,Sleight of Hand|Investigation|Deception|Intimidation,,Tiefling,,Dagger|Greataxe
7ff7d2,2018-05-17T23:13:52Z,Paladin,Oath of Ancients,20,Tough|Lucky,280,20,20,12,14,12,12,20,Athletics|History|Intimidation|Persuasion,,Tiefling,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5,Javelin|Greataxe|Longsword
370d36,2018-07-06T21:03:30Z,Paladin,Oath of Ancients,19,War Caster|Skilled|Resilient,266,21,20,14,19,8,12,18,Religion|Insight|Medicine|Perception|Deception|Intimidation|Persuasion,,Dwarf,Ensnaring Strike*1|Speak with Animals*1|Moonbeam*2|Misty Step*2|Plant Growth*3|Protection from Energy*3|Ice Storm*4|Stoneskin*4|Commune with Nature*5|Tree Stride*5,Longsword
a18c47,2018-06-13T01:09:44Z,Wizard,School of Necromancy,16,War Caster|Second Chance,144,11,10,13,16,20,13,13,Arcana|History|Investigation|Religion,,Halfling,Animate Dead*3,Dagger
c22cbc,2018-07-06T07:02:32Z,Fighter,Battle Master,16,,216,16,20,20,20,14,14,14,Athletics|History|Investigation|Survival,,Dragonborn,,Shortsword
a9a61d,2018-06-23T02:20:07Z,Druid,Circle of the Land,16,,153,14,10,12,18,13,20,10,Stealth|Nature|Animal Handling|Survival|Deception,,Turtle,Barkskin*2|Spider Climb*2|Call Lightning*3|Plant Growth*3|Divination*4|Freedom of Movement*4|Commune with Nature*5|Tree Stride*5,Scimitar
cb9242,2018-06-23T03:10:32Z,Sorcerer,Wild Magic,16,Lucky,104,13,8,17,14,12,10,20,Stealth|Arcana|Deception|Intimidation,,Goblin,,Quarterstaff|Dagger
2b842f,2018-06-24T17:25:13Z,Fighter,Champion,16,,164,16,20,16,18,12,12,9,Athletics|Acrobatics|Insight|Perception|Survival|Persuasion,,Lizardfolk,,Greatsword|Warhammer
f11604,2018-06-24T12:59:48Z,Wizard,School of Conjuration,16,Inspiring Leader|Tough,130,10,8,10,14,20,12,16,Arcana|History|Insight|Intimidation|Persuasion,LE,Human,Infestation*0|Mage Hand*0|Friends*0|Message*0|Shocking Grasp*0|Find Familiar*1|Unseen Servant*1|Cause Fear*1|Disguise Self*1|Detect Magic*1|Mage Armor*1|Identify*1|Comprehend Languages*1|Charm Person*1|Crown of Madness*2|Detect Thoughts*2|Dust Devil*2|Hold Person*2|Mind Spike*2|Ray of Enfeeblement*2|Animate Dead*3|Summon Lesser Demons*3|Phantom Steed*3|Fireball*3|Fear*3|Hypnotic Pattern*3|Conjure Minor Elementals*4|Mordenkainens Faithful Hound*4|Summon Greater Demon*4|Phantasmal Killer*4|Conjure Elemental*5|Cloudkill*5|Mental Prison*6|Soul Cage*6|Disintegrate*6|Circle of Death*6|Mordenkainens Magnificent Mansion*7|Crown of Stars*7|Mighty Fortress*8|Maddening Darkness*8|Antipathy/Sympathy*8,Dagger
f218b2,2018-06-24T00:18:50Z,Warlock,The Great Old One,16,Keen Mind,111,14,9,16,15,13,12,17,Arcana|Perception|Survival|Deception|Intimidation|Persuasion,NE,Elf,Eldritch Blast*0|Prestidigitation*0|Minor Illusion*0|Lightning Lure*0|Vicious Mockery*0|Mold Earth*0|Friends*0|Hex*1|Hellish Rebuke*1|Comprehend Languages*1|Misty Step*2|Mirror Image*2|Ray of Enfeeblement*2|Fly*3|Remove Curse*3|Hunger of Hadar*3|Dimension Door*4|Banishment*4|Hold Monster*5|Negative Energy Flood*5|Danse Macabre*5,Dagger
1549e6,2018-08-12T22:26:23Z,Paladin,Oath of Devotion,16,,229,18,16,13,18,14,12,14,History|Insight|Intimidation|Persuasion,,Human,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4,Javelin
58683a,2018-08-12T22:28:04Z,Ranger,Beast Master,16,,150,16,12,20,14,12,12,14,Stealth|History|Animal Handling|Perception|Survival|Persuasion,,Elf,Hunters Mark*1|Animal Friendship*1|Speak with Animals*1|Cure Wounds*1|Lesser Restoration*2|Pass Without Trace*2|Spike Growth*2|Wind Wall*3|Water Breathing*3|Speak with Plants*3|Conjure Woodland Beings*4|Locate Creature*4,Shortsword|Longbow
2060ca,2018-06-21T04:11:26Z,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,169,18,25,10,18,8,13,17,Athletics|Insight|Perception|Intimidation|Persuasion,,Human,Bane*1|Hunters Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Halberd|Javelin
cd6bd2,2018-06-15T03:56:44Z,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,Athletics|Nature|Perception|Survival|Intimidation,,Human,,Halberd|Handaxe|Javelin
de118c,2018-06-19T03:14:30Z,Barbarian,Path of the Totem Warrior,15,Sentinel|Polearm Master,201,20,25,18,18,8,12,10,Athletics|Stealth|Perception|Survival|Intimidation,CG,Human,,Handaxe|Battleaxe|Longbow
1ae626,2018-07-17T17:29:01Z,Fighter,Champion,15,Squat Nimbleness|Shield Master|Skilled|Tough,169,20,20,8,16,12,14,8,Athletics|History|Investigation|Nature|Animal Handling|Insight|Perception|Survival,,Dwarf,,Warhammer|Handaxe
d3310c,2018-06-15T04:10:21Z,Paladin,Oath of Vengeance,15,Polearm Master|Great Weapon Master|Resilient,132,16,18,10,14,8,10,16,Athletics|Insight|Perception|Intimidation|Persuasion,,Human,Bane*1|Hunters Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Halberd|Javelin
5324c0,2018-06-15T04:07:09Z,Fighter,Eldritch Knight,15,War Caster|Sentinel|Resilient,139,24,19,20,14,16,12,8,Acrobatics|Stealth|Insight|Perception|Survival,CG,Elf,,Rapier|CBow Light
41f232,2018-06-15T04:08:49Z,Paladin,Oath of Vengeance,15,Great Weapon Master,153,16,18,10,16,8,10,16,Athletics|Insight|Perception|Intimidation|Persuasion,CG,Half-Orc,Bane*1|Hunters Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4,Greatsword|Javelin
20622f,2018-06-15T04:04:59Z,Fighter,Battle Master,15,CBow Expert|Sharpshooter,170,16,8,20,18,9,14,10,Athletics|Perception|Survival|Intimidation,,Elf,,CBow Heavy|CBow Light
30f9b9,2018-08-12T22:29:58Z,Barbarian,Path of the Berserker,15,,200,15,15,14,17,12,10,14,Athletics|Intimidation|Persuasion,,Gnome,,Greataxe|Handaxe|Javelin
9368d0,2018-08-22T22:25:49Z,Fighter,Battle Master,15,Great Weapon Master,225,16,20,14,20,15,14,13,History|Animal Handling|Insight|Intimidation|Persuasion,,Half-Orc,,Greatsword|Whip|CBow Light
37842a,2018-04-16T21:33:57Z,Ranger,Beast Master,15,,151,15,10,19,14,12,14,15,Investigation|Nature|Animal Handling|Insight|Perception,,Half-Elf,,Shortsword|Longbow
